JAR Health Check Report
=======================

JAR Files
---------
List of JAR files found in classpath.

Artifact     | Version | Source                  | Size    | Multi-release | Java version (classes)     | Resources | Packages                                                | Checksum (SHA-1)                         | Coordinates                          | Issues
             |         |                         |         |               |                            |           | org.apache.camel.component.seda                         |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.stub                         |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.test                         |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.timer                        |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.validator                    |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.vm                           |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.xslt                         |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.converter (+2 subpackages)             |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.impl (+4 subpackages)                  |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.language                               |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.language.bean                          |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.language.constant                      |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.language.header                        |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.language.property                      |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.language.ref                           |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.language.simple (+2 subpackages)       |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.language.tokenizer                     |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.language.xpath                         |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.main                                   |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.management (+2 subpackages)            |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.model (+5 subpackages)                 |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.processor (+8 subpackages)             |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.spi                                    |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.support                                |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.util                                   |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.util.component                         |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.util.concurrent                        |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.util.jndi                              |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.util.jsse                              |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.util.toolbox                           |                                          |                                      |
camel-jdbc   | 2.17.7  | camel-jdbc-2.17.7.jar   | 43.0 KB | No            | Java 7 (18)                | 2         | org.apache.camel.component.jdbc                         | 2fe2562dc5a60b0912962435d5bf9dd938182dda | org.apache.camel:camel-jdbc:2.17.7   |
camel-jms    | 2.17.7  | camel-jms-2.17.7.jar    | 173 KB  | No            | Java 7 (70)                | 2         | org.apache.camel.component.jms (+1 subpackage)          | 3bdd24c802401ba8528129a4f93470a0d9043202 | org.apache.camel:camel-jms:2.17.7    |
camel-jmx    | 2.17.7  | camel-jmx-2.17.7.jar    | 56.4 KB | No            | Java 7 (19)                | 4         | org.apache.camel.component.jmx (+1 subpackage)          | 7d9eee048584eff55b64d727fa25cb72ac35babd | org.apache.camel:camel-jmx:2.17.7    |
camel-jxpath | 2.17.7  | camel-jxpath-2.17.7.jar | 18.0 KB | No            | Java 7 (3)                 | 1         | org.apache.camel.language.jxpath                        | a113238b4544cd941ecbc8cd595695082cf9de8e | org.apache.camel:camel-jxpath:2.17.7 |
camel-ldap   | 2.17.7  | camel-ldap-2.17.7.jar   | 22.3 KB | No            | Java 7 (3)                 | 2         | org.apache.camel.component.ldap                         | 6a0cd644682906c841d31e7b45dc4cbeb9ac8595 | org.apache.camel:camel-ldap:2.17.7   |
camel-mail   | 2.17.7  | camel-mail-2.17.7.jar   | 152 KB  | No            | Java 7 (32)                | 13        | org.apache.camel.component.mail                         | 0f8df3bdaca27c68aeaf226393404b8fa7deb068 | org.apache.camel:camel-mail:2.17.7   |
             |         |                         |         |               |                            |           | org.apache.camel.dataformat.mime.multipart              |                                          |                                      |
camel-soap   | 2.17.7  | camel-soap-2.17.7.jar   | 71.6 KB | No            | Java 7 (30)                | 4         | org.apache.camel.dataformat.soap (+1 subpackage)        | 0baa3f9989e7dbc687465853161d3b577473873b | org.apache.camel:camel-soap:2.17.7   | Fat JAR: org.apache.*, org.w3.*, org.xmlsoap.*
             |         |                         |         |               |                            |           | org.w3._2003._05.soap_envelope                          |                                          |                                      |
             |         |                         |         |               |                            |           | org.xmlsoap.schemas.soap.envelope                       |                                          |                                      |
camel-spring | 2.17.7  | camel-spring-2.17.7.jar | 314 KB  | No            | Java 7 (122)               | 12        | org.apache.camel.component.event                        | 023b2e8588750b41f3ecccdc9cfd90e3bc9bbe5f | org.apache.camel:camel-spring:2.17.7 |
             |         |                         |         |               |                            |           | org.apache.camel.core.* (4 subpackages)                 |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.language.spel                          |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.osgi                                   |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.spring (+7 subpackages)                |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.util.spring                            |                                          |                                      |
Classpath    | -       | -                       | 4.16 MB | -             | Java 7 (2298), Java 6 (78) | 283       | 107                                                     | -                                        | -                                    | -

